.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Craig Richardson","Winston-Salem State University","",false,false
"Ralph Sonenshine","American University","",false,false
"Amyaz Moledina","The College of Wooster","",false,false
"Steven A. Greenlaw","University of Mary Washington","",true,true
"David Shapiro","Pennsylvania State University","",true,true
"Eric Dodge","Hanover College","",false,false
"Cynthia Gamez","University of Texas at El Paso","",false,false
"Andres Jauregui","Columbus State University","",false,false
"Diane Keenan","Cerritos College","",false,false
"Dan MacDonald","California State University, San Bernardino","",false,false
