.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Jennifer Look","Mercer University","",false,false
"Paul Flowers","University of North Carolina at Pembroke","",true,true
"Allison Soult","University of Kentucky","",false,false
"Simon Bott","University of Houston","",false,false
"Donald Carpenetti","Craven Community College","",false,false
"Andrew Eklund","Alfred University","",false,false
"Emad El-Giar","University of Louisiana at Monroe","",false,false
"Don Frantz","Wilfrid Laurier University","",false,false
"Paul Hooker","Westminster College","",false,false
"Carol Martinez","Central New Mexico Community College","",false,false
"Troy Milliken","Jackson State University","",false,false
"Vicki Moravec","Trine University","",false,false
"Edward J. Neth","University of Connecticut","",true,true
"William R. Robinson, PhD","Purdue University","",true,true
"George Kaminski","Worcester Polytechnic Institute","",false,false
"Mark Blaser","Shasta College","",false,false
"Klaus Theopold","University of Delaware","",true,true
"Richard Langley","Stephen F. Austin State University","",true,true
"Jason Powell","Ferrum College","",false,false
"Thomas Sorensen","University of Wisconsin–Milwaukee","",false,false
